N,D,M,F,H,RH,T,RT,RO,,,,,,PF,DPF,MCF,ECS
2,63,20.46,120,100.468,0.37,0.839,0.16,0.433,,,,,,14.08,2.67,7.31,88.05
5,32,6,72,30.358,0.23,1.496,0.48,0.525,,,,,,16.61,1.11,8.12,20.31
2,63,22.93,120,100.722,0.66,0.93,0.21,0.387,,,,,,16.14,2.58,8.39,88.88
3,50,8.55,120,29.787,0.45,1.437,0.34,0.337,,,,,,24.86,1.41,8.85,19.63
5,32,10.12,72,51.259,0.96,1.551,0.32,0.526,,,,,,14.36,1.84,8.85,41.13
3,40,23.4,120,100.349,0.17,1.398,0.23,0.37,,,,,,24.87,1.53,8.93,90.42
2,63,7.39,120,30.167,0.51,1.027,0.11,0.36,,,,,,19.85,1.37,8.95,24.46
5,32,9.98,72,51.014,1.54,1.463,0.24,0.531,,,,,,13.41,2.13,8.99,40.92
3,40,7.4,120,30.15,0.26,1.495,0.34,0.351,,,,,,24.28,0.95,9.03,26.43
3,50,13.8,120,50.196,0.29,1.356,0.32,0.352,,,,,,23.89,1.39,9.09,44.37
2,63,7.88,120,30.161,0.44,1.042,0.28,0.337,,,,,,19.92,1.37,9.16,24.21
3,40,7.52,120,30.256,0.41,1.477,0.24,0.347,,,,,,27.77,0.91,9.32,27.1
2,63,7.79,120,30.151,0.38,1.074,0.25,0.341,,,,,,20.22,1.31,9.47,24.9
5,32,20.11,72,100.581,0.29,1.483,0.33,0.519,,,,,,17.2,2.33,9.61,82.38
3,40,22.43,120,100.406,0.53,1.381,0.3,0.386,,,,,,26,1.49,9.61,90.4
5,32,7.08,72,30.332,0.23,1.715,0.42,0.445,,,,,,21.21,1.35,9.69,20.2
3,40,10.82,120,50.294,0.42,1.3,0.23,0.401,,,,,,23.56,1.18,9.76,44.12
5,32,9.94,72,50.804,0.62,1.439,0.17,0.531,,,,,,15.26,1.58,9.77,39.28
5,32,20.94,72,100.472,0.35,1.538,0.26,0.498,,,,,,17.71,2.27,9.8,82.09
3,50,13.22,120,50.083,0.3,1.309,0.15,0.366,,,,,,23.04,1.28,10.02,40.83
3,40,10.76,120,50.452,0.38,1.274,0.14,0.404,,,,,,21.4,1,10.07,42.76
3,50,26.53,120,100.062,0.41,1.302,0.37,0.365,,,,,,22.6,2.09,10.21,84.09
3,40,7.51,120,30.204,0.39,1.469,0.21,0.347,,,,,,24.14,1,10.23,26.4
3,40,23.98,120,100.558,0.3,1.407,0.19,0.362,,,,,,25.17,1.42,10.5,89.11
3,50,13.76,120,50.216,0.34,1.413,0.2,0.353,,,,,,24.03,1.42,10.83,42.41
3,63,33.56,120,100.51,0.4,1.303,0.22,0.396,,,,,,28.62,3.24,10.93,92.59
3,63,16.7,120,50.244,0.46,1.271,0.26,0.398,,,,,,27.05,1.97,11.45,41.73
3,63,15.95,120,50.353,0.9,1.205,0.31,0.417,,,,,,25.68,2.69,12.49,42.93
3,50,27.87,120,100.174,0.31,1.4,0.2,0.348,,,,,,25.41,2.42,12.87,87.44
3,63,32.32,120,99.94,0.34,1.32,0.27,0.409,,,,,,26.38,3.09,13.12,87.33
3,63,32.23,120,100.366,0.5,1.357,0.28,0.412,,,,,,26.54,2.84,13.29,83.68
3,63,17.19,120,50.33,0.8,1.317,0.22,0.387,,,,,,24.42,1.91,13.9,39.01
5,50,21.41,120,50.706,0.78,2.066,0.46,0.382,,,,,,36.76,1.97,14.12,30.07
3,63,33.16,120,100.216,0.53,1.365,0.32,0.4,,,,,,26.89,3.17,14.85,84.02
3,63,10.73,120,30.123,0.39,1.417,0.34,0.371,,,,,,31.51,1.49,15.3,23.75
5,40,18.03,120,50.906,0.26,2.055,0.26,0.406,,,,,,34.43,1.55,15.39,43.16
5,40,41.58,120,99.418,0.27,2.387,0.54,0.344,,,,,,38.52,2.2,15.54,87.37
5,50,13.38,120,29.935,0.65,2.021,0.22,0.361,,,,,,37.73,1.71,16.23,18.37
5,40,18.12,120,50.786,0.59,2.092,0.31,0.403,,,,,,31.04,1.91,16.26,41.67
5,40,12.38,120,30.299,0.35,2.189,0.85,0.352,,,,,,46.33,0.94,16.76,25.4
5,50,13.59,120,30.076,0.41,2.201,0.4,0.357,,,,,,39.34,1.66,16.79,18.63
5,40,12.31,120,30.28,0.18,2.409,0.26,0.354,,,,,,45,1.16,17.3,25.67
5,50,13.61,120,30.086,0.31,2.154,0.29,0.356,,,,,,42.86,1.32,17.63,18.81
5,40,18.13,120,50.844,0.45,2.06,0.25,0.403,,,,,,33.91,1.56,17.64,42.2
5,50,42.05,120,100.402,0.19,2.092,0.31,0.385,,,,,,39.78,2.49,17.65,86.71
5,40,40.88,120,99.608,0.31,2.375,0.32,0.35,,,,,,46.14,2.28,18.37,85.49
5,50,20.95,120,51.068,0.97,1.996,0.49,0.393,,,,,,35.84,1.91,18.53,37.71
5,40,36.46,120,99.44,0.19,2.125,0.32,0.392,,,,,,38.23,1.34,19.27,85.03
5,63,59.14,120,100.055,0.51,2.294,0.34,0.373,,,,,,42.27,3.24,19.69,79.44
5,63,65.74,120,100.174,0.45,2.573,0.45,0.336,,,,,,52.11,3.6,20.04,83
7,50,66.25,120,100.446,0.45,3.147,0.32,0.342,,,,,,57.18,3.15,20.12,86.14
5,50,21.36,120,50.4756,0.99,2.05,0.42,0.381,,,,,,36.87,2.45,20.17,33.93
5,50,45.94,120,100.408,0.48,2.168,0.32,0.352,,,,,,43.15,2.63,21.22,86.08
5,63,29.27,120,50.779,0.83,2.317,0.86,0.382,,,,,,41.9,2.5,22.25,39.85
5,50,43.5,120,99.884,0.36,2.06,0.41,0.37,,,,,,41.94,2.46,22.94,82.33
5,63,28.3,120,51.05,2.04,2.167,0.2,0.397,,,,,,26.32,2.29,23.13,38.23
5,63,65.04,120,100.166,0.54,2.465,0.46,0.339,,,,,,50.47,3.5,24.26,81.5
7,50,65.11,120,100.442,0.25,3.047,0.37,0.348,,,,,,55.78,3.01,25.58,83.17
7,50,67.86,120,100.474,0.48,3.23,0.43,0.334,,,,,,56.45,3.23,30.23,77.77
7,50,33.59,120,50.212,1.32,3.21,0.47,0.337,,,,,,52.48,2.66,32.53,37.18
9,50,89.94,120,100.372,0.35,4.203,0.6,0.324,,,,,,79.01,3.35,38.05,83.06
7,50,34.22,120,49.798,2.84,3.301,0.68,0.328,,,,,,41.48,2.03,38.51,37.25
9,50,93.2,120,100.388,0.39,4.28,0.5,0.312,,,,,,82.88,3.52,38.72,84.08
9,50,88.48,120,100.429,0.51,4.203,0.65,0.329,,,,,,80.02,3.35,42.82,79.52
9,50,44.28,120,50.766,1.2,4.036,0.42,0.333,,,,,,65.37,2.85,49.65,34.41
9,50,46.28,120,50.89,1.29,4.215,0.64,0.319,,,,,,71.32,3.23,52.01,36.39
1,40,6.89,120,100.617,0.26,0.465,0.11,0.4197,,,,,,3.124,0.791,0.639,95.962
1,40,3.82,120,50.19,0.65,0.49,0.1,0.3776,,,,,,2.552,0.793,0.838,46.276
1,50,3.18,120,50.064,0.55,0.349,0.07,0.5074,,,,,,2.02,0.463,0.505,47.4
1,63,11.44,120,99.966,0.5,0.451,0.13,0.3851,,,,,,3.739,1.059,0.772,95.428
1,50,3.16,120,50.118,0.27,0.362,0.15,0.5112,,,,,,1.844,0.444,0.553,47.623
1,40,1.99,120,30.24,0.16,0.442,0.15,0.4368,,,,,,3.053,0.509,0.537,27.947
1,40,1.99,120,30.217,0.43,0.417,0.07,0.4364,,,,,,2.621,0.543,0.51,27.777
1,32,3.87,72,100.574,0.4,0.391,0.17,0.5394,,,,,,1.516,0.65,0.322,95.906
